,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
222,BEL,SELFEMP,MEN,PC_EMP,A,1968,20.603839999999998
223,BEL,SELFEMP,MEN,PC_EMP,A,1969,20.12882
224,BEL,SELFEMP,MEN,PC_EMP,A,1970,17.78329
225,BEL,SELFEMP,MEN,PC_EMP,A,1971,17.16756
226,BEL,SELFEMP,MEN,PC_EMP,A,1972,16.818939999999998
227,BEL,SELFEMP,MEN,PC_EMP,A,1973,16.35012
228,BEL,SELFEMP,MEN,PC_EMP,A,1974,15.959179999999998
229,BEL,SELFEMP,MEN,PC_EMP,A,1975,16.0166
230,BEL,SELFEMP,MEN,PC_EMP,A,1976,15.954770000000002
231,BEL,SELFEMP,MEN,PC_EMP,A,1977,15.978079999999999
232,BEL,SELFEMP,MEN,PC_EMP,A,1978,16.07294
233,BEL,SELFEMP,MEN,PC_EMP,A,1979,16.05408
234,BEL,SELFEMP,MEN,PC_EMP,A,1980,16.07143
235,BEL,SELFEMP,MEN,PC_EMP,A,1981,16.60096
236,BEL,SELFEMP,MEN,PC_EMP,A,1982,17.039360000000002
237,BEL,SELFEMP,MEN,PC_EMP,A,1983,17.51592
238,BEL,SELFEMP,MEN,PC_EMP,A,1984,17.898120000000002
239,BEL,SELFEMP,MEN,PC_EMP,A,1985,18.006429999999998
240,BEL,SELFEMP,MEN,PC_EMP,A,1986,18.131610000000002
241,BEL,SELFEMP,MEN,PC_EMP,A,1987,18.37112
242,BEL,SELFEMP,MEN,PC_EMP,A,1988,18.55099
243,BEL,SELFEMP,MEN,PC_EMP,A,1989,18.48816
244,BEL,SELFEMP,MEN,PC_EMP,A,1990,18.53526
245,BEL,SELFEMP,MEN,PC_EMP,A,1991,18.7585
246,BEL,SELFEMP,MEN,PC_EMP,A,1992,18.91534
247,BEL,SELFEMP,MEN,PC_EMP,A,1993,19.43545
248,BEL,SELFEMP,MEN,PC_EMP,A,1994,19.640620000000002
249,BEL,SELFEMP,MEN,PC_EMP,A,1995,19.6637
250,BEL,SELFEMP,MEN,PC_EMP,A,1996,19.90273
251,BEL,SELFEMP,MEN,PC_EMP,A,1997,19.86298
252,BEL,SELFEMP,MEN,PC_EMP,A,1998,19.63055
253,BEL,SELFEMP,MEN,PC_EMP,A,1999,17.78718
254,BEL,SELFEMP,MEN,PC_EMP,A,2000,17.47569
255,BEL,SELFEMP,MEN,PC_EMP,A,2001,16.96548
256,BEL,SELFEMP,MEN,PC_EMP,A,2002,17.24326
257,BEL,SELFEMP,MEN,PC_EMP,A,2003,16.745079999999998
