,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost
140,JPN,TRADEGOOD,IMP,MLN_USD,A,2013,784876.1
141,JPN,TRADEGOOD,IMP,MLN_USD,A,2014,798696.1
142,JPN,TRADEGOOD,IMP,MLN_USD,A,2015,629412.8
143,JPN,TRADEGOOD,IMP,MLN_USD,A,2016,584315.8
144,JPN,TRADEGOOD,IMP,MLN_USD,A,2017,644751.0
145,KOR,TRADEGOOD,EXP,MLN_USD,A,2013,618156.9
146,KOR,TRADEGOOD,EXP,MLN_USD,A,2014,613020.6
147,KOR,TRADEGOOD,EXP,MLN_USD,A,2015,542881.2
148,KOR,TRADEGOOD,EXP,MLN_USD,A,2016,511947.3
149,KOR,TRADEGOOD,EXP,MLN_USD,A,2017,577381.4
150,KOR,TRADEGOOD,IMP,MLN_USD,A,2013,535375.9
151,KOR,TRADEGOOD,IMP,MLN_USD,A,2014,524135.2
152,KOR,TRADEGOOD,IMP,MLN_USD,A,2015,420612.0
153,KOR,TRADEGOOD,IMP,MLN_USD,A,2016,393051.9
154,KOR,TRADEGOOD,IMP,MLN_USD,A,2017,457492.7
155,LUX,TRADEGOOD,EXP,MLN_USD,A,2013,24396.73
156,LUX,TRADEGOOD,EXP,MLN_USD,A,2014,24723.52
157,LUX,TRADEGOOD,EXP,MLN_USD,A,2015,16299.27
158,LUX,TRADEGOOD,EXP,MLN_USD,A,2016,15134.67
159,LUX,TRADEGOOD,EXP,MLN_USD,A,2017,15967.63
160,LUX,TRADEGOOD,IMP,MLN_USD,A,2013,25600.77
161,LUX,TRADEGOOD,IMP,MLN_USD,A,2014,25276.8
162,LUX,TRADEGOOD,IMP,MLN_USD,A,2015,19598.39
163,LUX,TRADEGOOD,IMP,MLN_USD,A,2016,19445.27
164,LUX,TRADEGOOD,IMP,MLN_USD,A,2017,20652.52
165,MEX,TRADEGOOD,EXP,MLN_USD,A,2013,380729.1
166,MEX,TRADEGOOD,EXP,MLN_USD,A,2014,397649.5
167,MEX,TRADEGOOD,EXP,MLN_USD,A,2015,380976.1
168,MEX,TRADEGOOD,EXP,MLN_USD,A,2016,374303.6
169,MEX,TRADEGOOD,EXP,MLN_USD,A,2017,409774.7
170,MEX,TRADEGOOD,IMP,MLN_USD,A,2013,381638.2
171,MEX,TRADEGOOD,IMP,MLN_USD,A,2014,400439.6
172,MEX,TRADEGOOD,IMP,MLN_USD,A,2015,395573.4
173,MEX,TRADEGOOD,IMP,MLN_USD,A,2016,387369.0
174,MEX,TRADEGOOD,IMP,MLN_USD,A,2017,420764.5
175,NLD,TRADEGOOD,EXP,MLN_USD,A,2013,567358.8
176,NLD,TRADEGOOD,EXP,MLN_USD,A,2014,570064.7
177,NLD,TRADEGOOD,EXP,MLN_USD,A,2015,464109.2
178,NLD,TRADEGOOD,EXP,MLN_USD,A,2016,465452.4
179,NLD,TRADEGOOD,EXP,MLN_USD,A,2017,520958.5
180,NLD,TRADEGOOD,IMP,MLN_USD,A,2013,467335.8
181,NLD,TRADEGOOD,IMP,MLN_USD,A,2014,469337.0
182,NLD,TRADEGOOD,IMP,MLN_USD,A,2015,391507.4
183,NLD,TRADEGOOD,IMP,MLN_USD,A,2016,392793.6
184,NLD,TRADEGOOD,IMP,MLN_USD,A,2017,441054.9
185,NZL,TRADEGOOD,EXP,MLN_USD,A,2013,39695.13
186,NZL,TRADEGOOD,EXP,MLN_USD,A,2014,41948.38
187,NZL,TRADEGOOD,EXP,MLN_USD,A,2015,34420.23
188,NZL,TRADEGOOD,EXP,MLN_USD,A,2016,33638.45
189,NZL,TRADEGOOD,EXP,MLN_USD,A,2017,38192.77
190,NZL,TRADEGOOD,IMP,MLN_USD,A,2013,38644.25
191,NZL,TRADEGOOD,IMP,MLN_USD,A,2014,40984.78
192,NZL,TRADEGOOD,IMP,MLN_USD,A,2015,35779.2
193,NZL,TRADEGOOD,IMP,MLN_USD,A,2016,35532.13
194,NZL,TRADEGOOD,IMP,MLN_USD,A,2017,39736.64
195,NOR,TRADEGOOD,EXP,MLN_USD,A,2013,155218.4
196,NOR,TRADEGOOD,EXP,MLN_USD,A,2014,143429.7
197,NOR,TRADEGOOD,EXP,MLN_USD,A,2015,103627.5
198,NOR,TRADEGOOD,EXP,MLN_USD,A,2016,88344.65
199,NOR,TRADEGOOD,EXP,MLN_USD,A,2017,103282.9
200,NOR,TRADEGOOD,IMP,MLN_USD,A,2013,91628.71
201,NOR,TRADEGOOD,IMP,MLN_USD,A,2014,90744.4
202,NOR,TRADEGOOD,IMP,MLN_USD,A,2015,76266.09
203,NOR,TRADEGOOD,IMP,MLN_USD,A,2016,73079.46
204,NOR,TRADEGOOD,IMP,MLN_USD,A,2017,94975.59
205,POL,TRADEGOOD,EXP,MLN_USD,A,2013,198042.5
206,POL,TRADEGOOD,EXP,MLN_USD,A,2014,210474.0
207,POL,TRADEGOOD,EXP,MLN_USD,A,2015,191032.5
208,POL,TRADEGOOD,EXP,MLN_USD,A,2016,196287.2
209,POL,TRADEGOOD,EXP,MLN_USD,A,2017,223941.1
