GDP Value,Cost,pte_value,se_value,Sex_Index,TIME_Index,GDPsubject,Impexp_Index,Country_Index
1714447.05,441856.4,12.74,8.7,2,4,0,0,21
1714447.05,441856.4,19.14,8.34,0,4,0,0,21
1714447.05,423402.5,26.17,7.96,1,4,0,1,21
1714447.05,423402.5,12.74,8.7,2,4,0,1,21
1714447.05,423402.5,19.14,8.34,0,4,0,1,21
44101.43,473116.9,26.7,8.12,1,1,0,0,21
44101.43,473116.9,12.16,9.48,2,1,0,0,21
44101.43,473116.9,19.1,8.83,0,1,0,0,21
44101.43,465209.2,26.7,8.12,1,1,0,1,21
44101.43,465209.2,12.16,9.48,2,1,0,1,21
44101.43,465209.2,19.1,8.83,0,1,0,1,21
45519.87,474937.9,27,8.04,1,0,0,0,21
45519.87,474937.9,12.29,9.4,2,0,0,0,21
45519.87,474937.9,19.29,8.76,0,0,0,0,21
45519.87,479168,27,8.04,1,0,0,1,21
45519.87,479168,12.29,9.4,2,0,0,1,21
45519.87,479168,19.29,8.76,0,0,0,1,21
44647.37,429256.3,26.39,8.01,1,2,0,0,21
44647.37,429256.3,12.1,9.18,2,2,0,0,21
44647.37,429256.3,18.88,8.62,0,2,0,0,21
44647.37,410688.3,26.39,8.01,1,2,0,1,21
44647.37,410688.3,12.1,9.18,2,2,0,1,21
44647.37,410688.3,18.88,8.62,0,2,0,1,21
44819.5,412960,26.41,8.08,1,3,0,0,21
44819.5,412960,12.61,9.04,2,3,0,0,21
44819.5,412960,19.19,8.58,0,3,0,0,21
44819.5,393440,26.41,8.08,1,3,0,1,21
44819.5,393440,12.61,9.04,2,3,0,1,21
44819.5,393440,19.19,8.58,0,3,0,1,21
46704.89,441856.4,26.17,7.96,1,4,0,0,21
46704.89,441856.4,12.74,8.7,2,4,0,0,21
46704.89,441856.4,19.14,8.34,0,4,0,0,21
46704.89,423402.5,26.17,7.96,1,4,0,1,21
46704.89,423402.5,12.74,8.7,2,4,0,1,21
46704.89,423402.5,19.14,8.34,0,4,0,1,21
320535.1,128547.3,8.04,13.52,1,1,0,0,20
320535.1,128547.3,2.49,21.19,2,1,0,0,20
320535.1,128547.3,4.9,17.86,0,1,0,0,20
320535.1,137083.5,8.04,13.52,1,1,0,1,20
320535.1,137083.5,2.49,21.19,2,1,0,1,20
320535.1,137083.5,4.9,17.86,0,1,0,1,20
339582.6,135846.1,7.74,12.85,1,0,0,0,20
339582.6,135846.1,2.48,21.93,2,0,0,0,20
339582.6,135846.1,4.76,17.99,0,0,0,0,20
339582.6,146442.3,7.74,12.85,1,0,0,1,20
339582.6,146442.3,2.48,21.93,2,0,0,1,20
339582.6,146442.3,4.76,17.99,0,0,0,1,20
352963.18,120568.1,7.44,12.78,1,2,0,0,20
352963.18,120568.1,2.54,20.88,2,2,0,0,20
352963.18,120568.1,4.68,17.34,0,2,0,0,20
352963.18,128213.8,7.44,12.78,1,2,0,1,20
352963.18,128213.8,2.54,20.88,2,2,0,1,20
352963.18,128213.8,4.68,17.34,0,2,0,1,20
366767.86,120508.1,7.97,13.23,1,3,0,0,20
