HDI Rank (2015),Country,2000_gni,,2005_gni,,2010_gni,,2011_gni,,2012_gni,,2013_gni,,2014_gni,,2015_gni
125, Namibia,7838,,8999,,9657,,10052,,10160,,10857, a,11320,,11665
144, Nepal,1980,,1984,,2328,,2381,,2475,,2544, a,2660,,2718
7, Netherlands,54378,,53250,,62866,,64225,,63422,,62840, a,61963,,62777
13, New Zealand,33122,,37995,,38101,,39021,,40084,,40429, a,41223,,41717
124, Nicaragua,4955,,5276,,5336,,5595,,5789,,5966, a,6170,,6389
187, Niger,1102,,1147,,1188,,1168,,1238,,1244, a,1287,,1292
152, Nigeria,3127,,4519,,5939,,6077,,6200,,6368, a,6709,,6706
1, Norway,70983,,73366,,71889,,71327,,71722,,71731, a,74628,,75301
52, Oman,67744,,61378,,63330,,55431,,52115,,49107, a,45347,,43894
147, Pakistan,5904,,6985,,7424,,7536,,7668,,7842, a,8128,,8377
114," Palestine, State of",8385,,8104,,7414,,7772,,8653,,8121, a,7925,,8651
60, Panama,13824,,15579,,17800,,20085,,21515,,22486, a,23397,,24369
154, Papua New Guinea,2044,,2011,,2327,,2518,,2664,,2752, a,2930,,3047
110, Paraguay,7552,,7071,,8684,,9134,,8634,,9784, a,10405,,10165
87, Peru,8342,,8904,,11201,,11726,,12360,,13719, a,13105,,13658
116, Philippines,6342,,7371,,9035,,8222,,8613,,9177, a,9513,,9919
36, Poland,18228,,21254,,25248,,26512,,26970,,27356, a,28504,,29665
41, Portugal,32753,,31459,,31225,,31755,,30329,,30769, a,31178,,31671
33, Qatar,142465,,136572,,139989,,148416,,149781,,153213, a,157572,,159901
50, Romania,12204,,16669,,20473,,20820,,20778,,21245, a,22148,,22782
49, Russian Federation,17101,,23490,,29355,,30530,,31480,,30510, a,30255,,29528
159, Rwanda,907,,1162,,1485,,1561,,1649,,1679, a,1751,,1822
92, Saint Lucia,11921,,11817,,12364,,12295,,11643,,11509, a,11496,,11617
99, Saint Vincent and the Grenadines,9730,,11675,,12393,,12307,,12615,,12881, a,12917,,13095
104, Samoa,5845,,7187,,6972,,7322,,7295,,7088, a,7117,,7181
142, Sao Tome and Principe,2972,,3286,,3770,,3855,,3939,,4010, a,4089,,4149
38, Saudi Arabia,67357,,69029,,68638,,72904,,74042,,74258, a,74907,,75919
162, Senegal,2464,,2707,,2718,,2680,,2708,,2683, a,2737,,2814
66, Serbia,10177,,13108,,14414,,14728,,14556,,15009, a,14912,,14931
