LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Cost,Flag Codes
IRL,TRADEGOOD,IMP,MLN_USD,A,2017,97983.65,
ITA,TRADEGOOD,EXP,MLN_USD,A,2013,503227.4,
ITA,TRADEGOOD,EXP,MLN_USD,A,2014,516801.8,
ITA,TRADEGOOD,EXP,MLN_USD,A,2015,450364.7,
ITA,TRADEGOOD,EXP,MLN_USD,A,2016,453407.5,
ITA,TRADEGOOD,EXP,MLN_USD,A,2017,495375.3,
ITA,TRADEGOOD,IMP,MLN_USD,A,2013,455306.1,
ITA,TRADEGOOD,IMP,MLN_USD,A,2014,453902.3,
ITA,TRADEGOOD,IMP,MLN_USD,A,2015,393671.7,
ITA,TRADEGOOD,IMP,MLN_USD,A,2016,389647.5,
ITA,TRADEGOOD,IMP,MLN_USD,A,2017,432504.7,
JPN,TRADEGOOD,EXP,MLN_USD,A,2013,694982.6,
JPN,TRADEGOOD,EXP,MLN_USD,A,2014,699824.8,
JPN,TRADEGOOD,EXP,MLN_USD,A,2015,622088.6,
JPN,TRADEGOOD,EXP,MLN_USD,A,2016,635027.3,
JPN,TRADEGOOD,EXP,MLN_USD,A,2017,688923.4,
JPN,TRADEGOOD,IMP,MLN_USD,A,2013,784876.1,
JPN,TRADEGOOD,IMP,MLN_USD,A,2014,798696.1,
JPN,TRADEGOOD,IMP,MLN_USD,A,2015,629412.8,
JPN,TRADEGOOD,IMP,MLN_USD,A,2016,584315.8,
JPN,TRADEGOOD,IMP,MLN_USD,A,2017,644751,
KOR,TRADEGOOD,EXP,MLN_USD,A,2013,618156.9,
KOR,TRADEGOOD,EXP,MLN_USD,A,2014,613020.6,
KOR,TRADEGOOD,EXP,MLN_USD,A,2015,542881.2,
KOR,TRADEGOOD,EXP,MLN_USD,A,2016,511947.3,
KOR,TRADEGOOD,EXP,MLN_USD,A,2017,577381.4,
KOR,TRADEGOOD,IMP,MLN_USD,A,2013,535375.9,
KOR,TRADEGOOD,IMP,MLN_USD,A,2014,524135.2,
KOR,TRADEGOOD,IMP,MLN_USD,A,2015,420612,
KOR,TRADEGOOD,IMP,MLN_USD,A,2016,393051.9,
KOR,TRADEGOOD,IMP,MLN_USD,A,2017,457492.7,
LUX,TRADEGOOD,EXP,MLN_USD,A,2013,24396.73,
LUX,TRADEGOOD,EXP,MLN_USD,A,2014,24723.52,
LUX,TRADEGOOD,EXP,MLN_USD,A,2015,16299.27,
LUX,TRADEGOOD,EXP,MLN_USD,A,2016,15134.67,
LUX,TRADEGOOD,EXP,MLN_USD,A,2017,15967.63,
LUX,TRADEGOOD,IMP,MLN_USD,A,2013,25600.77,
LUX,TRADEGOOD,IMP,MLN_USD,A,2014,25276.8,
LUX,TRADEGOOD,IMP,MLN_USD,A,2015,19598.39,
LUX,TRADEGOOD,IMP,MLN_USD,A,2016,19445.27,
LUX,TRADEGOOD,IMP,MLN_USD,A,2017,20652.52,
MEX,TRADEGOOD,EXP,MLN_USD,A,2013,380729.1,
MEX,TRADEGOOD,EXP,MLN_USD,A,2014,397649.5,
MEX,TRADEGOOD,EXP,MLN_USD,A,2015,380976.1,
MEX,TRADEGOOD,EXP,MLN_USD,A,2016,374303.6,
MEX,TRADEGOOD,EXP,MLN_USD,A,2017,409774.7,
MEX,TRADEGOOD,IMP,MLN_USD,A,2013,381638.2,
MEX,TRADEGOOD,IMP,MLN_USD,A,2014,400439.6,
MEX,TRADEGOOD,IMP,MLN_USD,A,2015,395573.4,
MEX,TRADEGOOD,IMP,MLN_USD,A,2016,387369,
