,GII Rank,Country,Gender Inequality Index (GII),Maternal Mortality Ratio,Adolescent Birth Rate,Percent Representation in Parliament,Population with Secondary Education (Female),Population with Secondary Education (Male),Labour Force Participation Rate (Female),Labour Force Participation Rate (Male)
178,179,Mali,0.677,550.0,175.6,9.5,7.7,15.1,50.8,81.4
179,180,Mozambique,0.591,480.0,137.8,39.6,1.4,6.2,85.5,82.8
180,181,Sierra Leone,0.65,1100.0,100.7,12.4,10.0,21.7,65.7,69.0
182,183,Burkina Faso,0.631,400.0,115.4,13.3,0.9,3.2,77.1,90.0
183,184,Burundi,0.49200000000000005,740.0,30.3,34.9,5.3,8.3,83.3,82.0
184,185,Chad,0.706,980.0,152.0,14.9,1.7,9.9,64.0,79.2
186,187,Central African Republic,0.655,880.0,98.3,12.5,10.1,26.7,72.6,85.1
187,188,Niger,0.713,630.0,204.8,13.3,2.4,7.8,40.0,89.7
188,189,Arab States,0.537,155.0,45.4,14.0,34.7,47.6,23.2,75.3
189,190,East Asia and the Pacific,0.32799999999999996,72.0,21.2,18.7,54.7,66.3,62.6,79.4
190,191,Europe and Central Asia,0.3,28.0,30.8,19.0,70.8,80.6,45.6,70.0
191,192,Latin America and the Caribbean,0.415,85.0,68.3,27.0,54.3,55.2,53.7,79.8
192,193,South Asia,0.536,183.0,38.7,17.5,29.1,54.6,29.8,80.3
193,194,Sub-Saharan Africa,0.575,506.0,109.7,22.5,22.1,31.5,65.4,76.6
194,195,World,0.449,210.0,47.4,21.8,54.5,65.4,50.3,76.7
